Admin Panel Report
Server: https://trudnik.onrender.com
Time: 2026-06-10 18:28:31
============================================================
[18:25:39] PASS | Login admin -- admin@test.ru
[18:25:47] PASS | Wrong password blocked -- Still on login page
[18:26:01] PASS | Login admin -- admin@test.ru
[18:26:04] PASS | Dashboard loaded -- OK
[18:26:11] PASS | Users tab loaded -- OK
[18:26:18] PASS | Users search works -- search=org
[18:26:27] PASS | Users search works -- Page loaded
[18:26:27] PASS | Role forms available -- 2 forms found
[18:26:34] PASS | Jobs tab loaded -- OK
[18:26:41] PASS | Jobs filter works -- status=open
[18:26:50] PASS | Job action buttons found -- 2 action buttons
[18:26:57] PASS | Verification tab loaded -- OK
[18:27:03] PASS | Skills tab loaded -- OK
[18:27:06] PASS | Skills API works -- JSON response
[18:27:12] PASS | Religions tab loaded -- OK
[18:27:15] PASS | Religions API works -- JSON response
[18:27:18] PASS | Redirect to login on /admin -- URL=https://trudnik.onrender.com/login
[18:27:27] PASS | Admin blocked for worker -- OK
[18:27:45] PASS | Login admin -- admin@test.ru
[18:27:58] PASS | Login admin -- admin@test.ru
[18:28:01] PASS | Re-login works -- OK
[18:28:17] PASS | Login admin -- admin@test.ru
[18:28:21] PASS | Tab dashboard loads -- OK
[18:28:24] PASS | Tab verification loads -- OK
[18:28:26] PASS | Tab skills loads -- OK
[18:28:28] PASS | Tab religions loads -- OK

Total: 26 passed, 0 failed
