Selenium Report - Trudnik
Server: https://trudnik.onrender.com
Time:   2026-06-09 23:47:51
============================================================
[23:46:57] PASS | Login employer -- email=org@test.ru
[23:47:00] PASS | My Jobs page loaded
[23:47:03] PASS | Create Job form opened
[23:47:17] PASS | Login worker -- email=trud3@test.ru
[23:47:20] PASS | Main page (worker) loaded
[23:47:22] PASS | My Applications page loaded
[23:47:36] PASS | Login worker (contact) -- email=trud3@test.ru
[23:47:39] PASS | Contact field found -- selector: By.NAME
[23:47:42] PASS | Contact field: save -- telegram: @testuser
[23:47:46] PASS | Contact field: clear
[23:47:50] PASS | URL sanitization -- Only open jobs shown (sanitization works)

Total: 11 passed, 0 failed
