"table_name","column_name","data_type","character_maximum_length","is_nullable","column_default","udt_name"
"jobs","location","text",NULL,"YES","''::text","text"
"jobs","lat","double precision",NULL,"YES",NULL,"float8"
"jobs","lng","double precision",NULL,"YES",NULL,"float8"
"jobs","date_time","timestamp with time zone",NULL,"YES",NULL,"timestamptz"
"jobs","created_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"jobs","updated_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"jobs","organization_name","text",NULL,"YES","''::text","text"
"jobs","max_workers","integer",NULL,"YES","1","int4"
"jobs","payment_status","text",NULL,"YES","'unpaid'::text","text"
"jobs","preferred_religion","text",NULL,"YES","'не важно'::text","text"
"jobs","contact_phone","text",NULL,"YES","''::text","text"
"jobs","contact_email","text",NULL,"YES","''::text","text"
"jobs","salary_amount","integer",NULL,"YES","0","int4"
"jobs","salary_type","text",NULL,"YES","'fixed'::text","text"
"jobs","currency","text",NULL,"YES","'RUB'::text","text"
"jobs","search_vector","tsvector",NULL,"YES",NULL,"tsvector"
"jobs","org_description","text",NULL,"YES","''::text","text"
"jobs","object_description","text",NULL,"YES","''::text","text"
"jobs","work_type","character varying",100,"YES","''::character varying","varchar"
"jobs","detailed_description","text",NULL,"YES","''::text","text"
"jobs","address","character varying",500,"YES",NULL,"varchar"
"jobs","city","character varying",255,"YES",NULL,"varchar"
"jobs","payment_amount","numeric",NULL,"YES",NULL,"numeric"
"jobs","current_workers","integer",NULL,"YES","0","int4"
"jobs","tariff","character varying",20,"YES","'standard'::character varying","varchar"
"jobs","is_paid","boolean",NULL,"YES","false","bool"
"jobs","paid_at","timestamp with time zone",NULL,"YES",NULL,"timestamptz"
"jobs","expires_at","timestamp with time zone",NULL,"YES",NULL,"timestamptz"
"messages","id","bigint",NULL,"NO",NULL,"int8"
"messages","sender_id","uuid",NULL,"NO",NULL,"uuid"
"messages","chat_id","uuid",NULL,"YES",NULL,"uuid"
"messages","content","text",NULL,"YES","''::text","text"
"messages","created_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"messages","receiver_id","uuid",NULL,"YES",NULL,"uuid"
"messages","application_id","uuid",NULL,"YES",NULL,"uuid"
"monetization_settings","id","uuid",NULL,"NO","gen_random_uuid()","uuid"
"monetization_settings","key","text",NULL,"NO",NULL,"text"
"monetization_settings","value","text",NULL,"NO","''::text","text"
"monetization_settings","updated_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"notifications","id","uuid",NULL,"NO","gen_random_uuid()","uuid"
"notifications","user_id","uuid",NULL,"NO",NULL,"uuid"
"notifications","type","character varying",50,"NO",NULL,"varchar"
"notifications","message","text",NULL,"YES",NULL,"text"
"notifications","is_read","boolean",NULL,"YES","false","bool"
"notifications","data","jsonb",NULL,"YES","'{}'::jsonb","jsonb"
"notifications","created_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"notifications","title","text",NULL,"YES",NULL,"text"
"notifications","job_id","uuid",NULL,"YES",NULL,"uuid"
"notifications","application_id","uuid",NULL,"YES",NULL,"uuid"
"notifications","shift_id","uuid",NULL,"YES",NULL,"uuid"
"profiles","id","uuid",NULL,"NO","gen_random_uuid()","uuid"
"profiles","role","text",NULL,"YES","'worker'::text","text"
"profiles","created_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"profiles","updated_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"profiles","inn","text",NULL,"YES","''::text","text"
"profiles","is_self_employed","boolean",NULL,"YES","false","bool"
"profiles","email_public","text",NULL,"YES","''::text","text"
"profiles","rating","double precision",NULL,"YES","0","float8"
"profiles","search_vector","tsvector",NULL,"YES",NULL,"tsvector"
"profiles","religion_id","uuid",NULL,"YES",NULL,"uuid"
"profiles","email","text",NULL,"YES",NULL,"text"
"profiles","full_name","text",NULL,"YES","''::text","text"
"profiles","phone","text",NULL,"YES",NULL,"text"
"profiles","photo_url","text",NULL,"YES",NULL,"text"
"profiles","age","integer",NULL,"YES",NULL,"int4"
"profiles","bio","text",NULL,"YES",NULL,"text"
"profiles","city","text",NULL,"YES",NULL,"text"
"profiles","experience","text",NULL,"YES",NULL,"text"
"profiles","desired_payment","numeric",NULL,"YES",NULL,"numeric"
"profiles","verification_status","text",NULL,"YES","'none'::text","text"
"profiles","verification_doc_url","text",NULL,"YES",NULL,"text"
"profiles","total_reviews","integer",NULL,"YES","0","int4"
"profiles","skills","ARRAY",NULL,"YES","'{}'::text[]","_text"
"profiles","religion","text",NULL,"YES","'не указано'::text","text"
"profiles","portfolio_link","text",NULL,"YES","''::text","text"
"profiles","contact","text",NULL,"YES",NULL,"text"
"profiles","notification_prefs","jsonb",NULL,"YES","'{}'::jsonb","jsonb"
"profiles","password_hash","text",NULL,"YES",NULL,"text"
"push_subscriptions","id","bigint",NULL,"NO","nextval('push_subscriptions_id_seq'::regclass)","int8"
"push_subscriptions","user_id","uuid",NULL,"NO",NULL,"uuid"
"push_subscriptions","subscription_json","jsonb",NULL,"YES","'{}'::jsonb","jsonb"
"push_subscriptions","created_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"push_subscriptions","user_agent","text",NULL,"YES",NULL,"text"
"push_subscriptions","endpoint","text",NULL,"YES",NULL,"text"
"push_subscriptions","p256dh","text",NULL,"YES",NULL,"text"
"push_subscriptions","auth","text",NULL,"YES",NULL,"text"
"push_subscriptions","updated_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"ratings","id","uuid",NULL,"NO","gen_random_uuid()","uuid"
"ratings","rated_user_id","uuid",NULL,"NO",NULL,"uuid"
"ratings","rater_user_id","uuid",NULL,"NO",NULL,"uuid"
"ratings","rating_type","character varying",20,"NO",NULL,"varchar"
"ratings","target_type","character varying",20,"NO",NULL,"varchar"
"ratings","rating","integer",NULL,"NO",NULL,"int4"
"ratings","comment","text",NULL,"YES",NULL,"text"
"ratings","job_id","uuid",NULL,"YES",NULL,"uuid"
"ratings","created_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"ratings","updated_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"receipts","id","uuid",NULL,"NO","gen_random_uuid()","uuid"
"receipts","contact_payment_id","uuid",NULL,"YES",NULL,"uuid"
"receipts","church_name","text",NULL,"NO","''::text","text"
"receipts","church_inn","text",NULL,"NO","''::text","text"
"receipts","service_description","text",NULL,"NO","''::text","text"
"receipts","amount","integer",NULL,"NO","0","int4"
"receipts","status","text",NULL,"NO","'sent'::text","text"
"receipts","receipt_json","jsonb",NULL,"YES","'{}'::jsonb","jsonb"
"receipts","created_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"receipts","resent_at","timestamp with time zone",NULL,"YES",NULL,"timestamptz"
"religions","id","uuid",NULL,"NO","gen_random_uuid()","uuid"
"religions","name","text",NULL,"NO",NULL,"text"
"religions","created_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"religions","sort_order","integer",NULL,"YES","0","int4"
"schema_migrations","version","text",NULL,"NO",NULL,"text"
"schema_migrations","applied_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"schema_migrations","checksum","text",NULL,"YES",NULL,"text"
"skills","id","uuid",NULL,"NO","gen_random_uuid()","uuid"
"skills","name","text",NULL,"NO",NULL,"text"
"skills","created_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"skills","sort_order","integer",NULL,"YES","0","int4"
"spatial_ref_sys","srid","integer",NULL,"NO",NULL,"int4"
"spatial_ref_sys","auth_name","character varying",256,"YES",NULL,"varchar"
"spatial_ref_sys","auth_srid","integer",NULL,"YES",NULL,"int4"
"spatial_ref_sys","srtext","character varying",2048,"YES",NULL,"varchar"
"spatial_ref_sys","proj4text","character varying",2048,"YES",NULL,"varchar"
"tariff_settings","id","uuid",NULL,"NO","gen_random_uuid()","uuid"
"tariff_settings","tariff_key","text",NULL,"NO",NULL,"text"
"tariff_settings","price","integer",NULL,"YES","0","int4"
"tariff_settings","duration_days","integer",NULL,"YES","30","int4"
"tariff_settings","created_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"tariff_settings","renewal_price","integer",NULL,"YES",NULL,"int4"
"tariff_settings","is_active","boolean",NULL,"YES","true","bool"
"tariff_settings","updated_at","timestamp with time zone",NULL,"YES","now()","timestamptz"
"user_skills","user_id","uuid",NULL,"NO",NULL,"uuid"
"user_skills","skill_id","uuid",NULL,"NO",NULL,"uuid"
